Stock Ticker,Beta_1 (SMB),Beta_2 (HML),Beta_3 (RMW),Beta_4 (CMA),Beta_5 (RF)
SUNW,-4.172790048232874,3.5856936254003013,-14.010610263362182,-1.8566917822890727,0.8787668101601852
ORCL,-0.8296089349397839,-1.0862079949788663,-7.060582408559494,-2.344956735607995,1.0052131873110504
MSFT,-0.4231855066176963,1.0027934751881447,-2.5370846997381236,-3.3459208354872567,-0.14516169447537872
SDS,-4.323444223312207,2.314660109070766,-6.104541133324548,-1.3373938045008467,2.2113462048351917
TW,1.75528841850707,-0.47116168301595257,-14.912225343662548,13.068753710306186,9.32055157189039
OV,-9.968554725248275,-0.6650569435052698,-0.5592535402379177,-3.268471264749306,6.620096071667391
AYE,1.614352347978007,3.1229879121717996,-0.005119775781220948,0.07408003380203933,1.8982830116153606
TROW,-1.777190410879903,5.489575718340522,-5.058239747701688,-4.19532857867123,0.08470787147724715
HON,-2.4659737531274435,2.9243866390130635,-2.72044719559641,0.47994309790656925,0.5351355431244528
EMC,-4.6088590445851025,0.8389299789175991,-11.030918394304479,-0.8396745231057373,0.02938325727937312
TECD,-1.987407477125959,2.4190701075785683,-1.8759898451455395,-2.4570567122955844,-0.6793036522963442
FO,2.0697641493159677,4.708929002288152,1.1696053825888095,-1.456592569958575,-0.78539990804046
TKLC,1.8811556402280274,1.4053593774071464,-8.72206717095138,2.651636164219618,4.1474887038932176
LLTC,-3.1497864902356882,0.13440098333595435,-7.314860854862307,-1.1996219826868189,0.3050232129926691
CY,-2.9294129904023305,-1.2810822508488602,-10.550811338370915,0.6232161135030025,1.7293436816656964
GENZ,-0.7782805219000897,0.4718449635912397,-4.232405343962673,-0.5519473871009231,0.6037669238999829
IMDC,-7.5122143957841665,-0.4986309907406985,-4.305673964594982,-2.521743192385985,-0.6242221933891048
ADPT,12.473943825057017,16.805283043679655,-6.109189338750234,-21.195084921101923,-1.2015577481156554
TCB,-1.765664001694777,3.3650707186771025,-1.6465488832988473,-0.39055463047482475,1.1060570756277475
T,-2.7740245288377685,2.212491512768086,-3.9641816720451772,-1.384305176173802,0.10215962285659122
JMED,-31.830288415074563,-28.49082684794359,12.89251152996884,34.07485141754016,74.08165323950671
ADM,-1.0545016527375186,0.5661498747420404,0.32210143402187397,1.4678722899970404,-0.21209960290587088
SVRN,-9.346405074541519,-0.5206487598065194,-18.659085477170102,3.073451636658013,-4.048899721944631
ADLA,17.680954195717874,14.68036461272579,-3.563164953119665,-18.495715042419082,20.544034297150183
DME,-7.911794159856263,6.538446248734133,2.7547109729491326,-7.779804903209096,-0.16287945073813667
IFMX,-6.639782801405264,-52.82647076992513,27.02124769258003,12.564829072597199,-7.109941688448825
HRC,-1.6112536275791285,-1.380809793548444,2.720965496633282,3.3370217295302056,10.981750198658869
FISV,-2.2918615725220537,4.614604150032218,-1.8769157834562566,-2.5801106264983065,0.7878371614091785
CF,-3.086768227906639,4.565466601283145,-2.644508193473167,-2.8618228535291452,0.930051731839388
SGI,-0.42189523141872315,-9.486766980713993,5.6733200872588165,-16.60117197017731,0.2370732766227638
BC,0.747526977312829,3.050407569143701,-0.7637513944044629,-1.2835259180572334,-2.2025238026926894
UIS,-0.043558422822735345,1.3796606014067172,-3.9583295480299796,1.6307312494175097,-1.245644768876131
WBST,-3.163509782914997,2.881281600973991,-3.883642364099234,1.7871206877127956,-0.055540145630587893
MKL,-0.8124954830242312,2.978271912861706,-0.6301218736249586,-0.358026422213083,-0.26500451737909186
CMVT,-6.270333896638755,2.8521967537505355,-17.200046671985646,2.1051447535679335,-2.5494178791844755
BFO,19.261315543387433,-67.03417464642578,69.90139833540911,0.07185499911635312,19.671049404102238
WCOM,-3.3170825735417386,-6.591646322877751,-1.3448915212662058,-1.6247713563126682,5.283452837537614
